년도,학년,학과,학기,교과구분,인증구분,교과목명,"학점(실험/실습,설계)"
24,1,전자정보통신공학과,1,전문교양,인필,문제해결을위한글쓰기와발표,3
24,1,전자정보통신공학과,1,MSC,인필,고급프로그래밍활용,3
24,1,전자정보통신공학과,1,MSC,인필,미적분학1,3
24,1,전자정보통신공학과,1,MSC,인필,확률및통계,3
24,1,전자정보통신공학과,1,MSC,인필,C프로그래밍및실습,3
24,1,전자정보통신공학과,2,전문교양,인필,대학영어,2
24,1,전자정보통신공학과,2,전문교양,인필,서양철학:쟁점과토론,3
24,1,전자정보통신공학과,2,MSC,인필,공업수학1,3
24,1,전자정보통신공학과,2,MSC,인필,인공지능과빅데이터,3
24,1,전자정보통신공학과,2,MSC,인필,고급C프로그래밍및실습,3
24,1,전자정보통신공학과,2,MSC,인필,선형대수,3
24,2,전자정보통신공학과,1,MSC,인필,기초전자물리,3
24,2,전자정보통신공학과,1,전공,인선,공업수학2,3
24,2,전자정보통신공학과,1,전공,인선,데이터구조론,3
24,2,전자정보통신공학과,1,전공,인선,전기회로,3
24,2,전자정보통신공학과,1,전공,인선,MATLAB프로그래밍,3
24,2,전자정보통신공학과,1,전공,인선,디지털논리회로,3(실험1)
24,2,전자정보통신공학과,2,전문교양,인선,세계사(2~4학년),3
24,2,전자정보통신공학과,2,전문교양,인선,동서양의사상과윤리(2~4학년),3
24,2,전자정보통신공학과,2,전문교양,인선,경제학(2~4학년),3
24,2,전자정보통신공학과,2,전문교양,인선,경영학(2~4학년),3
24,2,전자정보통신공학과,2,전문교양,인선,컴퓨터게임과메타버스(2~4학년),3
24,2,전자정보통신공학과,2,전문교양,인선,융합예술의이해(2~4학년),3
24,2,전자정보통신공학과,2,전공,인선,신호및시스템,3
24,2,전자정보통신공학과,2,전공,인선,물리전자공학,3
24,2,전자정보통신공학과,2,전공,인선,객체지향프로그래밍,3
24,2,전자정보통신공학과,2,전공,인선,컴퓨터구조론,3
24,2,전자정보통신공학과,2,전공,인선,전기회로실험,3(실험1)
24,2,전자정보통신공학과,2,전공,인선,데이터분석과도표작성,3
24,2,전자정보통신공학과,2,전공(설계),인필,기초설계,3(설계3)
24,3,전자정보통신공학과,1,전공,인선,전자회로1,3
24,3,전자정보통신공학과,1,전공,인선,통신이론,3
24,3,전자정보통신공학과,1,전공,인선,전자기1,3
24,3,전자정보통신공학과,1,전공,인선,디지털신호처리,3
24,3,전자정보통신공학과,1,전공,인선,인공지능,3
24,3,전자정보통신공학과,1,전공,인선,데이터통신,3
24,3,전자정보통신공학과,1,전공,인선,고급물리전자,3
24,3,전자정보통신공학과,1,전공,인선,랜덤프로세스,3
24,3,전자정보통신공학과,1,전공,인선,자동제어,3
24,3,전자정보통신공학과,1,전공,인선,정보이론,3
24,3,전자정보통신공학과,1,전공,인선,기초광학및실험,3(실험1)
24,3,전자정보통신공학과,2,전공,인선,광전자공학,3
24,3,전자정보통신공학과,2,전공,인선,컴퓨터네트워크,3
24,3,전자정보통신공학과,2,전공,인선,디지털통신시스템,3
24,3,전자정보통신공학과,2,전공,인선,음성처리,3
24,3,전자정보통신공학과,2,전공,인선,영상처리,3
24,3,전자정보통신공학과,2,전공,인선,전자회로2,3
24,3,전자정보통신공학과,2,전공,인선,디스플레이공학,3
24,3,전자정보통신공학과,2,전공,인선,전자기2,3
24,3,전자정보통신공학과,2,전공,인선,양자전자소자공학,3
24,3,전자정보통신공학과,2,전공,인선,임베디드시스템,3
24,3,전자정보통신공학과,2,전공(설계),인선,전자소자설계,3(설계2)
24,3,전자정보통신공학과,2,전공(설계),인선,데이터통신설계,3(설계2)
24,3,전자정보통신공학과,2,전공(설계),인선,정보시스템설계,3(설계2)
24,3,전자정보통신공학과,2,전공(설계),인선,정보시스템설계,3(설계2)
24,3,전자정보통신공학과,2,전공(설계),인선,정보시스템설계,3(설계2)
24,3,전자정보통신공학과,2,전공(설계),인선,정보시스템설계,3(설계2)
24,4,전자정보통신공학과,1,전공,인선,졸업연구및진로1,1
24,4,전자정보통신공학과,1,전공,인선,전자정보통신공학특강A,3
24,4,전자정보통신공학과,1,전공,인선,초고주파공학,3
24,4,전자정보통신공학과,1,전공,인선,무선통신공학,3
24,4,전자정보통신공학과,1,전공,인선,광통신공학,3
24,4,전자정보통신공학과,1,전공,인선,전자소자공정실험,3(실험1)
24,4,전자정보통신공학과,1,전공,인선,마이크로컴퓨터실험,3(실험1)
24,4,전자정보통신공학과,1,전공,인선,전자회로설계,3(설계2)
24,4,전자정보통신공학과,1,전공,인선,통신시스템설계,3(설계2)
24,4,전자정보통신공학과,1,전공,인선,통신시스템설계,3(설계2)
24,4,전자정보통신공학과,1,전공,인선,멀티미디어설계,3(설계2)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,1,전공,인선,캡스톤디자인A,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,졸업연구및진로2,1
24,4,전자정보통신공학과,2,전공,인선,전자정보통신공학특강B,3
24,4,전자정보통신공학과,2,전공,인선,안테나공학,3
24,4,전자정보통신공학과,2,전공,인선,LED공학,3
24,4,전자정보통신공학과,2,전공,인선,차세대이동통신,3
24,4,전자정보통신공학과,2,전공,인선,광통신시스템,3
24,4,전자정보통신공학과,2,전공,인선,디지털제어,3
24,4,전자정보통신공학과,2,전공,인선,K-MOOC:무선인터넷의이해,1
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
24,4,전자정보통신공학과,2,전공,인선,캡스톤디자인B,3(설계3)
